date,heartrate
2025-03-06 17:30:16 +0100,83.0
2025-03-06 17:35:12 +0100,59.0
2025-03-06 17:40:35 +0100,78.0
2025-03-06 17:43:03 +0100,63.0
2025-03-06 17:48:06 +0100,74.0
2025-03-06 17:51:33 +0100,85.8949
2025-03-06 17:56:48 +0100,70.0
2025-03-06 18:01:07 +0100,80.0
2025-03-06 18:02:41 +0100,48.0
2025-03-06 18:08:48 +0100,60.0
2025-03-06 18:15:45 +0100,79.0
2025-03-06 18:21:25 +0100,82.0
2025-03-06 18:24:57 +0100,75.0
2025-03-06 18:27:18 +0100,66.0
2025-03-06 18:33:55 +0100,76.0
2025-03-06 18:39:58 +0100,69.0
2025-03-06 18:42:18 +0100,62.0
2025-03-06 18:50:39 +0100,103.0
2025-03-06 19:01:21 +0100,67.0
2025-03-06 19:05:58 +0100,67.0
2025-03-06 19:11:30 +0100,69.0
2025-03-06 19:13:45 +0100,71.0
2025-03-06 19:19:54 +0100,77.0
2025-03-06 19:23:07 +0100,102.0
2025-03-06 19:30:13 +0100,105.735
2025-03-06 19:29:51 +0100,66.0
2025-03-06 19:35:08 +0100,93.0
2025-03-06 19:41:08 +0100,93.0
2025-03-06 19:43:05 +0100,93.0
2025-03-06 19:51:18 +0100,85.0
2025-03-06 19:53:03 +0100,90.0
2025-03-06 19:57:14 +0100,58.0
2025-03-06 20:06:28 +0100,67.0
2025-03-06 20:08:27 +0100,93.0
2025-03-06 20:12:56 +0100,89.0
2025-03-06 20:20:24 +0100,86.0
2025-03-06 20:25:21 +0100,58.0
2025-03-06 20:28:35 +0100,95.3499
2025-03-06 20:28:55 +0100,92.0
2025-03-06 20:33:24 +0100,74.0
2025-03-06 20:41:46 +0100,69.0
2025-03-06 20:43:29 +0100,90.0
2025-03-06 20:48:59 +0100,72.0
2025-03-06 20:56:25 +0100,53.0
2025-03-06 21:00:40 +0100,74.0
2025-03-06 21:02:24 +0100,89.0
2025-03-06 21:16:03 +0100,105.0
2025-03-06 21:19:31 +0100,65.0
2025-03-06 21:24:54 +0100,66.0
2025-03-06 21:33:31 +0100,96.0
2025-03-06 21:37:08 +0100,65.0
2025-03-06 21:43:30 +0100,114.0
2025-03-06 21:50:02 +0100,161.0
2025-03-06 21:50:07 +0100,164.0
2025-03-06 21:50:08 +0100,164.0
2025-03-06 21:50:15 +0100,167.0
2025-03-06 21:50:22 +0100,166.0
2025-03-06 21:50:23 +0100,166.0
2025-03-06 21:50:28 +0100,165.0
2025-03-06 21:50:37 +0100,164.0
2025-03-06 21:50:38 +0100,164.0
2025-03-06 21:50:46 +0100,165.0
2025-03-06 21:50:49 +0100,163.0
2025-03-06 21:50:55 +0100,164.0
2025-03-06 21:51:15 +0100,78.0
2025-03-06 21:56:50 +0100,112.0
2025-03-06 22:00:18 +0100,112.0
2025-03-06 22:02:23 +0100,66.0
2025-03-06 22:10:42 +0100,68.0
2025-03-06 22:12:24 +0100,68.0
2025-03-06 22:18:17 +0100,113.0
2025-03-06 22:35:48 +0100,87.0
2025-03-06 22:41:31 +0100,98.0
2025-03-06 22:46:08 +0100,98.0
2025-03-06 22:50:07 +0100,91.0
2025-03-06 22:53:14 +0100,89.0
2025-03-06 22:57:32 +0100,91.0
2025-03-06 23:06:28 +0100,93.0
2025-03-06 23:11:59 +0100,86.0
2025-03-06 23:13:57 +0100,92.0
2025-03-06 23:18:26 +0100,88.0
2025-03-06 23:25:28 +0100,91.0
2025-03-06 23:28:36 +0100,91.0
2025-03-06 23:37:59 +0100,79.0
2025-03-07 00:00:47 +0100,126.0
2025-03-07 00:00:51 +0100,123.0
2025-03-07 00:00:56 +0100,119.0
2025-03-07 00:01:02 +0100,116.0
2025-03-07 00:01:04 +0100,116.0
2025-03-07 00:01:08 +0100,116.0
2025-03-07 00:01:17 +0100,114.0
2025-03-07 00:06:16 +0100,88.0
2025-03-07 00:10:14 +0100,76.0
2025-03-07 00:12:35 +0100,59.0
2025-03-07 00:18:31 +0100,81.4519
2025-03-07 00:19:04 +0100,80.0
2025-03-07 00:25:28 +0100,135.0
2025-03-07 00:25:32 +0100,133.0
2025-03-07 00:25:38 +0100,134.0
2025-03-07 00:25:39 +0100,135.0
2025-03-07 00:25:48 +0100,139.0
2025-03-07 00:25:49 +0100,140.0
2025-03-07 00:25:58 +0100,157.0
2025-03-07 00:26:03 +0100,157.0
2025-03-07 00:26:08 +0100,159.0
2025-03-07 00:26:09 +0100,159.0
2025-03-07 00:26:14 +0100,160.0
2025-03-07 00:26:23 +0100,162.0
2025-03-07 00:26:27 +0100,163.0
2025-03-07 00:26:33 +0100,161.0
2025-03-07 00:26:38 +0100,160.0
2025-03-07 00:26:40 +0100,159.0
2025-03-07 00:26:47 +0100,154.0
2025-03-07 00:22:08 +0100,93.0
2025-03-07 00:27:08 +0100,79.0
2025-03-07 00:35:39 +0100,66.0
2025-03-07 00:41:18 +0100,88.0
2025-03-07 00:44:37 +0100,89.0
2025-03-07 00:47:52 +0100,131.0
2025-03-07 00:47:57 +0100,130.0
2025-03-07 00:48:02 +0100,132.0
2025-03-07 00:48:04 +0100,134.0
2025-03-07 00:48:12 +0100,136.0
2025-03-07 00:48:16 +0100,136.0
2025-03-07 00:48:19 +0100,137.0
2025-03-07 00:48:27 +0100,136.0
2025-03-07 00:48:31 +0100,137.0
2025-03-07 00:48:33 +0100,138.0
2025-03-07 00:48:38 +0100,139.0
2025-03-07 00:48:47 +0100,145.0
2025-03-07 00:48:48 +0100,145.0
2025-03-07 00:48:56 +0100,143.0
2025-03-07 00:49:00 +0100,143.0
2025-03-07 00:49:07 +0100,146.0
2025-03-07 00:49:11 +0100,147.0
2025-03-07 00:49:15 +0100,144.0
2025-03-07 00:49:19 +0100,141.0
2025-03-07 00:49:25 +0100,138.0
2025-03-07 00:49:30 +0100,142.0
2025-03-07 00:49:35 +0100,142.0
2025-03-07 00:49:42 +0100,141.0
2025-03-07 00:49:47 +0100,141.0
2025-03-07 00:49:48 +0100,141.0
2025-03-07 00:49:56 +0100,141.0
2025-03-07 00:50:01 +0100,140.0
2025-03-07 00:50:05 +0100,140.0
2025-03-07 00:50:10 +0100,142.0
2025-03-07 00:50:17 +0100,140.0
2025-03-07 00:50:21 +0100,140.0
2025-03-07 00:50:23 +0100,139.0
2025-03-07 00:50:32 +0100,139.0
2025-03-07 00:50:37 +0100,137.0
2025-03-07 00:50:38 +0100,137.0
2025-03-07 00:50:45 +0100,135.0
2025-03-07 00:51:44 +0100,105.0
2025-03-07 00:51:49 +0100,105.0
2025-03-07 00:51:53 +0100,108.0
2025-03-07 00:51:59 +0100,110.0
2025-03-07 00:52:04 +0100,132.0
2025-03-07 00:52:05 +0100,132.0
2025-03-07 00:52:14 +0100,136.0
2025-03-07 00:52:16 +0100,137.0
2025-03-07 00:52:24 +0100,137.0
2025-03-07 00:52:27 +0100,137.0
2025-03-07 00:52:34 +0100,135.0
2025-03-07 00:52:35 +0100,135.0
2025-03-07 00:52:40 +0100,134.0
2025-03-07 00:52:49 +0100,132.0
2025-03-07 00:52:51 +0100,132.0
2025-03-07 00:52:55 +0100,132.0
2025-03-07 00:53:00 +0100,133.0
2025-03-07 00:53:07 +0100,132.0
2025-03-07 00:53:12 +0100,131.0
2025-03-07 00:53:19 +0100,132.0
2025-03-07 00:53:24 +0100,133.0
2025-03-07 00:53:29 +0100,133.0
2025-03-07 00:53:31 +0100,134.0
2025-03-07 00:53:35 +0100,134.0
2025-03-07 00:53:41 +0100,134.0
2025-03-07 00:53:47 +0100,132.0
2025-03-07 00:53:50 +0100,132.0
2025-03-07 00:53:59 +0100,133.0
2025-03-07 00:54:00 +0100,134.0
2025-03-07 00:54:08 +0100,133.0
2025-03-07 00:54:14 +0100,132.0
2025-03-07 00:54:19 +0100,131.0
2025-03-07 00:54:22 +0100,131.0
2025-03-07 00:54:27 +0100,131.0
2025-03-07 00:54:31 +0100,131.0
2025-03-07 00:54:35 +0100,132.0
2025-03-07 00:54:42 +0100,131.0
2025-03-07 00:54:45 +0100,132.0
2025-03-07 00:54:54 +0100,131.0
2025-03-07 00:54:55 +0100,131.0
2025-03-07 00:55:04 +0100,128.0
2025-03-07 00:55:08 +0100,129.0
2025-03-07 00:55:14 +0100,129.0
2025-03-07 00:55:16 +0100,129.0
2025-03-07 00:55:22 +0100,128.0
2025-03-07 00:55:28 +0100,126.0
2025-03-07 00:58:44 +0100,125.0
2025-03-07 00:58:49 +0100,127.0
2025-03-07 00:58:54 +0100,127.0
2025-03-07 00:58:55 +0100,128.0
2025-03-07 00:59:03 +0100,127.0
2025-03-07 00:59:05 +0100,127.0
2025-03-07 00:59:10 +0100,126.0
2025-03-07 00:59:15 +0100,125.0
2025-03-07 00:59:21 +0100,123.0
2025-03-07 00:59:25 +0100,122.0
2025-03-07 00:59:31 +0100,121.0
2025-03-07 00:59:37 +0100,126.0
2025-03-07 00:59:44 +0100,128.0
2025-03-07 00:59:45 +0100,128.0
2025-03-07 00:59:54 +0100,128.0
2025-03-07 00:59:59 +0100,127.0
2025-03-07 01:00:02 +0100,128.0
2025-03-07 01:00:09 +0100,127.0
2025-03-07 01:00:10 +0100,126.0
2025-03-07 01:00:16 +0100,123.0
2025-03-07 01:00:24 +0100,111.0
2025-03-07 01:00:29 +0100,113.0
2025-03-07 01:00:31 +0100,114.0
2025-03-07 01:00:39 +0100,112.0
2025-03-07 01:00:40 +0100,112.0
2025-03-07 01:00:49 +0100,109.0
2025-03-07 01:00:53 +0100,110.0
2025-03-07 01:00:56 +0100,112.0
2025-03-07 01:01:05 +0100,114.0
2025-03-07 01:01:10 +0100,118.0
2025-03-07 01:01:19 +0100,122.0
2025-03-07 01:01:22 +0100,122.0
2025-03-07 01:01:26 +0100,118.0
2025-03-07 01:01:34 +0100,110.0
2025-03-07 01:01:39 +0100,110.0
2025-03-07 01:01:42 +0100,111.0
2025-03-07 01:04:37 +0100,101.53
2025-03-07 01:03:01 +0100,94.0
2025-03-07 10:18:04 +0100,87.0
2025-03-07 10:23:50 +0100,79.0
2025-03-07 10:28:36 +0100,67.0
2025-03-07 10:36:47 +0100,61.0
2025-03-07 10:38:29 +0100,82.0
2025-03-07 10:45:35 +0100,73.0
2025-03-07 10:47:51 +0100,70.0
2025-03-07 10:54:58 +0100,76.0
2025-03-07 10:58:38 +0100,115.0
2025-03-07 11:09:22 +0100,139.0
2025-03-07 11:11:41 +0100,134.0
2025-03-07 11:14:01 +0100,139.0
2025-03-07 11:03:16 +0100,95.0
2025-03-07 11:15:03 +0100,119.0
2025-03-07 11:15:08 +0100,120.0
2025-03-07 11:15:12 +0100,123.0
2025-03-07 11:15:18 +0100,119.0
2025-03-07 11:15:19 +0100,119.0
2025-03-07 11:15:26 +0100,113.0
2025-03-07 11:15:29 +0100,113.0
2025-03-07 11:15:35 +0100,111.0
2025-03-07 11:15:40 +0100,113.0
2025-03-07 11:15:45 +0100,113.0
2025-03-07 11:15:53 +0100,115.0
2025-03-07 11:15:55 +0100,115.0
2025-03-07 11:15:59 +0100,115.0
2025-03-07 11:16:08 +0100,106.0
2025-03-07 11:16:12 +0100,107.0
2025-03-07 11:16:18 +0100,111.0
2025-03-07 11:16:19 +0100,111.0
2025-03-07 11:16:25 +0100,107.0
2025-03-07 11:16:29 +0100,107.0
2025-03-07 11:16:58 +0100,101.0
2025-03-07 11:17:47 +0100,102.117
2025-03-07 11:21:52 +0100,116.0
2025-03-07 11:18:27 +0100,50.0
2025-03-07 11:25:37 +0100,99.0
